   Identity                                      Vote Account                            Commission  Last Vote        Root Slot     Skip Rate  Credits  Version            Active Stake
  AYSACY1Qv7KKUESKZ2a3mM1mBES4qJbyxa39A79T8bE4  8oQXQ5xn4toJB4tC3b6gGWiRgUAAm8iiTWmw3kNAS9cW  100%  369348929 (-25)  369348898 (-21)    -     3008080    3.0.6         0.000000000 SOL (0.00%)
  4JVC4HKsWkra2hkcAKaCTM3T7awMBikpwQZ67Zhaq8v3  GHxacamFvdKtMLmk34uRtkgJspgN6gogqFrnDXpwNGkS   50%  369348930 (-24)  369348899 (-20)    -     2923545    3.0.7         0.000000000 SOL (0.00%)
  2yDwZer11v2TTj86WeHzRDpE4HJVbyJ3fJ8H4AkUtWTc  H57AGhCwRkPCxBjsJJkL6DpobNHwZwQaq1PTz94U6tdy   90%  369348930 (-24)  369348899 (-20)    -     3050418   3.0.10         0.000000000 SOL (0.00%)
  GeNRwZavB9erY8ZkqTV2vYB57Saj75fxgaAa2GKFp8zJ  65dk5SeCLdRnDwgHvzsGcNUcBPUaT7pXKSx8YXVFcE9Z  100%  369348930 (-24)  369348899 (-20) 100.00%   192059  0.711.30006         0.000000000 SOL (0.00%)
  44aQ7DBggBh5FbMuhqfd6cXtzLPnf2z2Z5kAXSDqpcbc  9cyWt5XbVaoeikzQAqHwKjq6dC7VPfULPgr2sfVD3Nnk  100%  369348930 (-24)  369348899 (-20)    -     3033368   3.0.10         0.000000000 SOL (0.00%)
  6PwVvwSsWQUuFqKNBhrzdWX77TfFSXwhZcdyMFQdPriN  7DeDFUxLP5oxqonfgrZjegPbEpacWxXZzNoLrWzJMyEM  100%  369348930 (-24)  369348899 (-20)    -       54430    3.0.9         0.000000000 SOL (0.00%)
  GEM1N1UE3C8BB8EaaEPrcFvT3iLMVrurknjW5AYjUReR  GEM1N1pCDGKiTa547eckcwuHWYMsUQeXgnXHfEZLDvpB  100%  369348930 (-24)  369348899 (-20)    -     3053960    3.0.9         0.000000000 SOL (0.00%)
  p1ayZqPCwyftrpJUNteE11RPKWwgDHnm3YRDQx3BnZX   P1aywnqxKUBbEbtJqRdnBrBkRmkejGkDpnF3hCQ5aa2   100%  369348930 (-24)  369348899 (-20)    -     3041137   3.0.10         0.000000000 SOL (0.00%)
  CjeBBayteDFJewXgDvGP14VFWi2C7eRJVEUWfj6AQy1T  2ohJkWzsqe52vtarXAbm7ofMAGSPTWSRT8qCCDZ8p3g2  100%  369348929 (-25)  369348898 (-21)    -      467117   3.0.10         0.000000000 SOL (0.00%)
  87vx1SARCrTukm7kwZpFd4dmtUumr1jw3NmJQkPoegMt  GtXLYpPWXn4QQC9Aizmhy5FpmnNdU5f79Ga6RruAMakc  100%  369348954 (  0)  369348917 ( -2)    -     1153611  0.708.20306         0.001000000 SOL (0.00%)
  8rtRDdfaHnPMCNtvWWcbsecvtePLac9HeryNZceq4gzJ  CLc3oZ1f1MsFCgZU9nda9gbXQvNjS9a4GkJy8BfiibRA  100%  369348954 (  0)  369348917 ( -2)    -     4758487    3.0.6         0.001000000 SOL (0.00%)
  5iaHh5YuAUVyRXGzRdtzrgZgVTmJxL3PZnswrYup6BU8  96k2jD3fcQh7JSXVz6oKxX2K51fvBGb1vByUKcYBNGd1  100%  369348954 (  0)  369348917 ( -2)    -     4758709  0.713.30008         0.001000000 SOL (0.00%)
  ED4pSxzaemm1KZ2kgSnimKp3nw8GB4qpUSmFCxhqUKRw  DLjmf4b3LZqAVYsHg3RwbK1AZC8cdUYzhYeZsyWKQ1HU  100%  369348954 (  0)  369348917 ( -2)    -     4758794    3.0.6         0.001000000 SOL (0.00%)
  462x4mp5aZ29SetJR3oka3d2ARXVKUcs9f9hZsapf7ML  7HrJY8cceYxiGttg3qKA6JNFQZqt1EPTV3TG3hhYProA  100%  369348954 (  0)  369348917 ( -2)    -     4758809    3.0.6         0.001000000 SOL (0.00%)
⚠️ EdnFDP1yaB915HK9xLFXPNYoUc64N2ufYyLqjpb3gNHv  DW4mujSjCwr3mkiwkFybj82NTqvFfeWFxhtcCtCeMZyr  100%  367621987        367621956          -           0  unknown         0.001000000 SOL (0.00%)
⚠️ AjTrfjYY2SiTC5pLJXwNXpcP8q549YQ9VrPAxzjqjUaW  DmbZmh39twdjBQQMN2j3aURPRD6DcHzah9erBzeki6Rq  100%  367993577        367993546          -           0  unknown         0.001000000 SOL (0.00%)
